Stock quote and option quote for AIG on 7/1/19 18:01:19

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.84,N,+.56,53.61,Q,53.99,P,1 x 4,"3,200,768",53.53,53.97,53.17

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.38%,-185.7,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.8

Theo parameters
Theo date,Theo stock price,Theo volatility
7/1/19, 0.00$, 0.00%

5 JUL 19  (4)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190719C58,0,0,.120,.060,-.017,.025,.003,27.05%,.19014164,<empty>,<empty>,10.78%,21.90%,89.22%,6.78%,155.31%,.190,0 x 157,0,157,<empty>,0,0, ,0,0,0,0,P,.38,X,19 JUL 19,58,3.90,B,4.40,X,AIG190719P58,0,0,-1.000,.00,.00,.00,.00,--,<empty>,38.54%,7.71%,100.00%,0.00%,0.00%,-0.36%,<empty>,4.150,48 x 109,48,109,<empty>,0,0, ,0,0,0,,
,,AIG190719C58.5,0,0,.111,.053,-.018,.023,.003,29.00%,.1851432,<empty>,<empty>,9.87%,20.06%,90.13%,6.61%,172.99%,.185,0 x 268,0,268,<empty>,0,0, ,0,0,0,0,J,.37,X,19 JUL 19,58.5,4.40,W,4.75,H,AIG190719P58.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,42.49%,8.48%,100.00%,0.00%,0.00%,-3.03%,<empty>,4.575,53 x 21,53,21,<empty>,0,0, ,0,0,0,,
,,AIG190719C59,0,0,.103,.047,-.018,.022,.003,30.88%,.18029233,<empty>,<empty>,9.08%,18.48%,90.92%,6.43%,190.66%,.180,0 x 301,0,301,<empty>,0,0, ,0,0,0,0,C,.36,X,19 JUL 19,59,5.00,B,5.40,M,AIG190719P59,0,0,-.961,.031,-.006,.010,-.083,22.40%,5.20,48.29%,9.67%,96.55%,6.98%,3.45%,1.43%,<empty>,5.200,48 x 74,48,74,<empty>,0,0, ,0,0,0,,
,,AIG190719C59.5,0,0,.096,.042,-.018,.021,.003,32.67%,.17500368,<empty>,<empty>,8.38%,17.07%,91.62%,6.25%,208.34%,.175,0 x 274,0,274,<empty>,0,0, ,0,0,0,0,M,.35,X,19 JUL 19,59.5,5.50,B,5.80,M,AIG190719P59.5,0,0,-1.000,.00,.00,.00,.00,--,<empty>,52.47%,10.49%,100.00%,0.00%,0.00%,-0.36%,<empty>,5.650,48 x 81,48,81,<empty>,0,0, ,0,0,0,,
,,AIG190719C60,0,1,.091,.039,-.019,.020,.002,34.67%,.17534017,<empty>,<empty>,7.92%,16.14%,92.08%,6.25%,226.19%,.175,0 x 293,0,293,0.00%,.05,.05,C,0,0,0,0,J,.35,X,19 JUL 19,60,6.05,B,6.30,X,AIG190719P60,0,0,-.982,.016,-.003,.005,-.147,22.27%,6.17,57.35%,11.47%,98.46%,3.11%,1.54%,0.54%,<empty>,6.175,48 x 76,48,76,0.00%,6.80,6.80,Q,0,0,0,,
,,AIG190719C61,0,0,.084,.033,-.019,.019,.002,38.50%,.17513663,<empty>,<empty>,7.12%,14.54%,92.88%,6.25%,261.89%,.175,0 x 99,0,99,<empty>,0,0, ,0,0,0,0,B,.35,X,19 JUL 19,61,6.95,B,7.40,M,AIG190719P61,0,0,-.984,.013,-.003,.005,-.150,25.27%,7.18,66.63%,13.33%,98.60%,2.84%,1.40%,0.54%,<empty>,7.175,48 x 76,48,76,<empty>,0,0, ,0,0,0,,
,,AIG190719C65,0,0,.065,.020,-.022,.016,.002,52.52%,.17505077,<empty>,<empty>,5.12%,10.52%,94.88%,6.25%,404.71%,.175,0 x 227,0,227,<empty>,0,0, ,0,0,0,0,J,.35,X,19 JUL 19,65,10.95,H,11.30,H,AIG190719P65,0,0,-1.000,.00,.00,.00,.00,--,<empty>,103.32%,20.65%,100.00%,0.00%,0.00%,-1.25%,<empty>,11.125,51 x 78,51,78,<empty>,0,0, ,0,0,0,,
,,AIG190719C70,0,0,.053,.013,-.024,.013,.001,67.91%,.17540379,<empty>,<empty>,3.82%,7.88%,96.18%,6.25%,583.23%,.175,0 x 171,0,171,<empty>,0,0, ,0,0,0,0,J,.35,X,19 JUL 19,70,15.80,H,16.30,E,AIG190719P70,0,0,-1.000,.00,.00,.00,.00,--,<empty>,149.05%,29.75%,100.00%,0.00%,0.00%,-3.93%,<empty>,16.050,52 x 2,52,2,<empty>,0,0, ,0,0,0,,

26 JUL 19  (25)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190726C40,0,0,.915,.005,-.026,.019,.008,75.30%,14.00,<empty>,<empty>,91.59%,16.10%,8.41%,4.17%,4.17%,14.000,174 x 66,174,66,<empty>,0,0, ,0,0,0,13.65,M,14.35,M,26 JUL 19,40,0,B,.70,M,AIG190726P40,0,0,-.065,.011,-.028,.018,-.003,79.04%,.35009507,8.75%,0.88%,9.63%,18.37%,90.37%,9.13%,<empty>,.350,0 x 94,0,94,<empty>,0,0, ,0,0,0,,
,,AIG190726C45,0,0,.923,.011,-.015,.019,.011,44.36%,8.95,<empty>,<empty>,92.72%,14.18%,7.28%,2.87%,2.87%,8.950,66 x 53,66,53,<empty>,0,0, ,0,0,0,8.70,C,9.20,C,26 JUL 19,45,0,B,.51,X,AIG190726P45,0,98,-.076,.020,-.020,.021,-.003,49.22%,.25501494,5.67%,0.57%,9.69%,18.81%,90.31%,6.65%,<empty>,.255,0 x 187,0,187,0.00%,.07,.07,E,0,0,0,,
,,AIG190726C46,0,0,.918,.016,-.015,.020,.013,40.67%,7.98,<empty>,<empty>,91.85%,15.90%,8.15%,3.52%,3.52%,7.975,48 x 108,48,108,<empty>,0,0, ,0,0,0,7.75,B,8.20,C,26 JUL 19,46,0,B,.50,X,AIG190726P46,0,0,-.082,.024,-.019,.022,-.003,44.30%,.2500168,5.43%,0.55%,10.17%,19.80%,89.83%,6.52%,<empty>,.250,0 x 512,0,512,<empty>,0,0, ,0,0,0,,
,,AIG190726C47,0,0,.916,.020,-.014,.021,.015,35.83%,6.98,<empty>,<empty>,91.51%,16.62%,8.49%,3.52%,3.52%,6.975,76 x 18,76,18,<empty>,0,0, ,0,0,0,6.75,M,7.20,Q,26 JUL 19,47,0,B,.44,X,AIG190726P47,0,1,-.084,.028,-.016,.022,-.003,38.32%,.22003948,4.68%,0.47%,10.08%,19.69%,89.92%,5.74%,<empty>,.220,0 x 433,0,433,0.00%,.26,.26,E,0,0,0,,
,,AIG190726C48,0,0,.900,.029,-.015,.024,.018,33.29%,6.03,<empty>,<empty>,89.39%,20.78%,10.61%,4.83%,4.83%,6.025,48 x 71,48,71,<empty>,0,0, ,0,0,0,5.80,B,6.25,C,26 JUL 19,48,.05,H,.10,H,AIG190726P48,0,2,-.047,.026,-.007,.014,-.002,26.23%,.07522158,1.52%,0.16%,5.44%,10.71%,94.56%,1.96%,<empty>,.075,55 x 111,55,111,0.00%,.22,.22,X,0,0,0,,
,,AIG190726C49,0,0,.858,.043,-.020,.032,.021,33.71%,5.18,<empty>,<empty>,84.16%,30.94%,15.84%,8.74%,8.74%,5.175,103 x 100,103,100,<empty>,0,0, ,0,0,0,4.85,M,5.50,C,26 JUL 19,49,.08,M,.12,H,AIG190726P49,0,2,-.065,.037,-.008,.018,-.003,23.85%,.10027408,1.69%,0.20%,7.39%,14.57%,92.61%,2.61%,<empty>,.100,60 x 11,60,11,0.00%,.44,.44,E,0,0,0,,
,,AIG190726C50,0,5,.851,.056,-.017,.033,.022,27.07%,4.13,<empty>,<empty>,83.83%,31.73%,16.17%,7.44%,7.44%,4.125,160 x 171,160,171,0.00%,2.80,2.80,I,0,0,0,3.90,C,4.35,C,26 JUL 19,50,.13,H,.18,H,AIG190726P50,0,224,-.100,.055,-.011,.025,-.004,22.17%,.1551453,2.24%,0.31%,11.13%,21.93%,88.87%,4.04%,<empty>,.155,30 x 11,30,11,0.00%,.46,.46,I,0,0,0,,
,,AIG190726C51,0,2,.802,.077,-.018,.040,.023,24.59%,3.23,<empty>,<empty>,78.58%,42.03%,21.42%,10.05%,10.05%,3.225,171 x 202,171,202,0.00%,2.38,2.38,P,0,0,0,3.05,C,3.40,C,26 JUL 19,51,.21,M,.26,M,AIG190726P51,0,61,-.152,.081,-.013,.034,-.006,20.26%,.2350717,2.96%,0.46%,16.50%,32.52%,83.50%,6.13%,<empty>,.235,81 x 57,81,57,0.00%,.67,.67,X,0,0,0,,
,,AIG190726C52,0,11,.729,.103,-.020,.047,.023,22.26%,2.38,<empty>,<empty>,71.03%,56.84%,28.97%,13.96%,13.96%,2.375,192 x 243,192,243,0.00%,2.04,2.04,N,0,0,0,2.23,C,2.52,C,26 JUL 19,52,.34,C,.42,X,AIG190726P52,4,145,-.235,.114,-.016,.044,-.009,18.71%,.38000732,4.26%,0.74%,25.15%,49.51%,74.85%,9.91%,<empty>,.380,625 x 74,625,74,-3.45%,.56,.56,C,.56,.56,.56,,
,,AIG190726C53,0,16,.625,.132,-.020,.054,.021,19.89%,1.60,<empty>,<empty>,60.56%,77.34%,39.44%,19.70%,19.70%,1.595,18 x 106,18,106,0.00%,1.03,1.03,M,0,0,0,1.53,B,1.66,M,26 JUL 19,53,.61,B,.71,M,AIG190726P53,25,172,-.363,.145,-.019,.054,-.014,18.03%,.66001564,6.65%,1.26%,38.17%,75.00%,61.83%,17.22%,<empty>,.660,19 x 65,19,65,-46.05%,.82,.82,H,.92,.92,.81,,
,,AIG190726C54,9,633,.485,.148,-.020,.057,.017,18.77%,.9950869,<empty>,<empty>,46.57%,95.12%,53.43%,25.96%,30.14%,.995,19 x 277,19,277,-6.33%,.74,.74,T,.90,.90,.71,.93,B,1.06,C,26 JUL 19,54,.98,C,1.12,M,AIG190726P54,0,53,-.517,.164,-.018,.057,-.020,16.85%,1.05,9.75%,1.98%,53.61%,94.58%,46.39%,23.22%,<empty>,1.050,452 x 102,452,102,0.00%,1.27,1.27,X,0,0,0,,
,,AIG190726C55,89,517,.338,.140,-.018,.052,.012,18.17%,.57008726,<empty>,<empty>,32.07%,65.26%,67.93%,14.87%,45.14%,.570,19 x 65,19,65,-16.67%,.40,.40,Q,.39,.40,.34,.51,B,.63,M,26 JUL 19,55,1.52,C,1.70,M,AIG190726P55,0,0,-.686,.156,-.015,.051,-.026,15.79%,1.61,14.95%,3.02%,70.16%,60.58%,29.84%,11.74%,<empty>,1.610,490 x 65,490,65,<empty>,0,0, ,0,0,0,,
,,AIG190726C56,46,135,.204,.113,-.014,.041,.008,17.40%,.28002672,<empty>,<empty>,19.14%,38.83%,80.86%,7.31%,63.66%,.280,68 x 160,68,160,-21.74%,.18,.18,H,.19,.19,.16,.24,X,.32,X,26 JUL 19,56,2.18,C,2.44,M,AIG190726P56,0,0,-.851,.116,-.009,.033,-.030,13.86%,2.31,21.45%,4.30%,86.10%,28.11%,13.90%,3.91%,<empty>,2.310,527 x 159,527,159,<empty>,0,0, ,0,0,0,,
,,AIG190726C57,0,120,.111,.076,-.009,.027,.004,17.22%,.1302786,<empty>,<empty>,10.27%,20.78%,89.73%,3.39%,85.84%,.130,20 x 11,20,11,0.00%,.13,.13,C,0,0,0,.11,B,.15,H,26 JUL 19,57,2.93,C,3.35,C,AIG190726P57,0,0,-1.000,.00,.00,.00,.00,--,<empty>,29.16%,5.83%,100.00%,0.00%,0.00%,-0.52%,<empty>,3.140,355 x 76,355,76,<empty>,0,0, ,0,0,0,,
,,AIG190726C58,0,20,.043,.040,-.004,.013,.002,16.10%,.04017764,<empty>,<empty>,3.95%,7.97%,96.05%,1.04%,109.59%,.040,0 x 25,0,25,0.00%,.07,.07,C,0,0,0,0,J,.08,M,26 JUL 19,58,3.95,C,4.45,C,AIG190726P58,0,0,-.955,.041,-.004,.014,-.053,16.20%,4.20,39.00%,7.81%,95.96%,8.16%,4.04%,1.04%,<empty>,4.200,48 x 93,48,93,<empty>,0,0, ,0,0,0,,
,,AIG190726C59,0,0,.125,.050,-.016,.030,.005,28.93%,.25029107,<empty>,<empty>,11.02%,22.48%,88.98%,6.52%,141.16%,.250,0 x 525,0,525,<empty>,0,0, ,0,0,0,0,B,.50,C,26 JUL 19,59,4.90,C,5.35,C,AIG190726P59,0,0,-1.000,.00,.00,.00,.00,--,<empty>,47.59%,9.51%,100.00%,0.00%,0.00%,-0.91%,<empty>,5.125,54 x 60,54,60,<empty>,0,0, ,0,0,0,,
,,AIG190726C60,0,98,.114,.041,-.017,.028,.004,32.56%,.25036069,<empty>,<empty>,9.83%,20.09%,90.17%,6.52%,167.25%,.250,0 x 497,0,497,0.00%,.07,.07,E,0,0,0,0,B,.50,X,26 JUL 19,60,5.90,C,6.45,H,AIG190726P60,0,0,-.982,.017,-.002,.006,-.147,19.17%,6.17,57.35%,11.47%,98.41%,3.22%,1.59%,0.39%,<empty>,6.175,70 x 67,70,67,<empty>,0,0, ,0,0,0,,

2 AUG 19  (32)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190802C40,0,0,.911,.006,-.023,.022,.012,69.36%,14.05,<empty>,<empty>,90.66%,17.83%,9.34%,4.32%,4.32%,14.050,19 x 61,19,61,<empty>,0,0, ,0,0,0,13.70,P,14.40,C,2 AUG 19,40,0,B,.50,M,AIG190802P40,0,0,-.052,.010,-.017,.017,-.003,64.88%,.25029155,6.25%,0.63%,7.70%,14.77%,92.30%,5.14%,<empty>,.250,0 x 171,0,171,<empty>,0,0, ,0,0,0,,
,,AIG190802C45,0,0,.915,.014,-.014,.023,.016,41.81%,9.00,<empty>,<empty>,91.36%,16.79%,8.64%,3.29%,3.29%,9.000,85 x 90,85,90,<empty>,0,0, ,0,0,0,8.75,C,9.25,C,2 AUG 19,45,0,B,.50,X,AIG190802P45,0,0,-.075,.020,-.015,.023,-.004,43.47%,.25001412,5.56%,0.56%,9.57%,18.58%,90.43%,5.14%,<empty>,.250,0 x 408,0,408,<empty>,0,0, ,0,0,0,,
,,AIG190802C46,0,0,.909,.018,-.014,.025,.019,38.35%,8.03,<empty>,<empty>,90.43%,18.63%,9.57%,3.80%,3.80%,8.025,57 x 74,57,74,<empty>,0,0, ,0,0,0,7.75,C,8.30,C,2 AUG 19,46,.03,M,.43,X,AIG190802P46,0,0,-.078,.023,-.014,.024,-.004,38.49%,.23002133,5.00%,0.50%,9.66%,18.80%,90.34%,4.73%,<empty>,.230,85 x 464,85,464,<empty>,0,0, ,0,0,0,,
,,AIG190802C47,0,0,.910,.022,-.012,.025,.020,32.96%,7.00,<empty>,<empty>,90.67%,18.24%,9.33%,3.29%,3.29%,7.000,48 x 81,48,81,<empty>,0,0, ,0,0,0,6.70,B,7.30,C,2 AUG 19,47,.04,X,.12,H,AIG190802P47,0,0,-.044,.021,-.006,.015,-.002,27.06%,.08041594,1.70%,0.17%,5.17%,10.17%,94.83%,1.64%,<empty>,.080,393 x 114,393,114,<empty>,0,0, ,0,0,0,,
,,AIG190802C48,0,0,.889,.032,-.014,.030,.024,31.41%,6.08,<empty>,<empty>,87.85%,23.73%,12.15%,4.83%,4.83%,6.075,17 x 18,17,18,<empty>,0,0, ,0,0,0,5.90,B,6.25,B,2 AUG 19,48,.08,H,.13,X,AIG190802P48,0,1,-.059,.029,-.007,.019,-.003,24.99%,.10500918,2.13%,0.22%,6.82%,13.42%,93.18%,2.16%,<empty>,.105,79 x 31,79,31,0.00%,.29,.29,C,0,0,0,,
,,AIG190802C49,0,0,.867,.042,-.014,.034,.026,28.56%,5.13,<empty>,<empty>,85.38%,28.60%,14.62%,5.86%,5.86%,5.125,16 x 55,16,55,<empty>,0,0, ,0,0,0,4.95,C,5.30,H,2 AUG 19,49,.12,H,.18,M,AIG190802P49,0,8,-.084,.041,-.009,.025,-.004,23.35%,.15020283,2.53%,0.31%,9.59%,18.86%,90.41%,3.08%,<empty>,.150,117 x 36,117,36,0.00%,.29,.29,C,0,0,0,,
,,AIG190802C50,0,0,.839,.056,-.015,.039,.028,25.40%,4.18,<empty>,<empty>,82.37%,34.53%,17.63%,6.89%,6.89%,4.175,337 x 179,337,179,<empty>,0,0, ,0,0,0,4.00,C,4.35,C,2 AUG 19,50,.19,C,.25,M,AIG190802P50,0,544,-.123,.058,-.011,.033,-.006,21.79%,.22009817,3.18%,0.44%,13.67%,26.88%,86.33%,4.52%,<empty>,.220,36 x 66,36,66,0.00%,.32,.32,E,0,0,0,,
,,AIG190802C51,0,1,.777,.074,-.017,.048,.029,24.56%,3.35,<empty>,<empty>,75.66%,47.60%,24.34%,10.48%,10.48%,3.350,71 x 245,71,245,0.00%,3.25,3.25,C,0,0,0,3.20,M,3.50,C,2 AUG 19,51,.30,C,.41,X,AIG190802P51,10,117,-.186,.079,-.014,.043,-.009,20.92%,.35504561,4.48%,0.70%,20.37%,40.00%,79.63%,7.30%,<empty>,.355,63 x 144,63,144,-43.84%,.41,.41,I,.41,.41,.41,,
,,AIG190802C52,5,133,.707,.094,-.018,.055,.029,22.36%,2.52,<empty>,<empty>,68.51%,61.59%,31.49%,13.88%,13.88%,2.515,30 x 210,30,210,+13.76%,2.15,2.15,Q,2.15,2.15,2.15,2.40,X,2.63,X,2 AUG 19,52,.49,N,.58,H,AIG190802P52,0,"1,406",-.268,.104,-.016,.053,-.013,19.61%,.53533641,5.99%,1.04%,28.83%,56.56%,71.17%,11.00%,<empty>,.535,3 x 11,3,11,0.00%,.76,.76,N,0,0,0,,
,,AIG190802C53,55,331,.611,.115,-.019,.062,.026,20.53%,1.77,<empty>,<empty>,58.79%,80.54%,41.21%,19.12%,19.12%,1.770,50 x 159,50,159,-13.21%,1.38,1.38,X,1.42,1.46,1.38,1.69,B,1.85,X,2 AUG 19,53,.75,B,.86,B,AIG190802P53,6,972,-.377,.128,-.017,.061,-.019,18.38%,.80503063,8.11%,1.54%,39.94%,78.24%,60.06%,16.55%,<empty>,.805,18 x 21,18,21,-27.94%,.98,.98,T,1.08,1.08,.98,,
,,AIG190802C54,62,298,.490,.126,-.019,.064,.022,19.47%,1.18,<empty>,<empty>,46.73%,95.80%,53.27%,24.15%,27.44%,1.175,19 x 196,19,196,+14.10%,.89,.89,Z,1.04,1.04,.89,1.10,B,1.25,C,2 AUG 19,54,1.11,C,1.27,H,AIG190802P54,0,471,-.513,.143,-.017,.064,-.025,17.13%,1.19,11.05%,2.25%,53.41%,95.25%,46.59%,21.17%,<empty>,1.190,611 x 11,611,11,0.00%,2.04,2.04,Q,0,0,0,,
,,AIG190802C55,212,"2,064",.359,.125,-.017,.060,.017,18.40%,.70503873,<empty>,<empty>,33.90%,69.19%,66.10%,14.49%,38.34%,.705,69 x 87,69,87,+6.15%,.69,.69,Q,.70,.71,.52,.65,M,.76,M,2 AUG 19,55,1.66,X,1.84,M,AIG190802P55,"1,000","1,492",-.658,.138,-.015,.059,-.031,16.42%,1.75,16.25%,3.29%,67.69%,65.79%,32.31%,12.13%,<empty>,1.750,493 x 68,493,68,-12.40%,2.12,2.12,C,2.16,2.17,2.11,,
,,AIG190802C56,95,460,.239,.107,-.013,.050,.011,17.84%,.39501075,<empty>,<empty>,22.29%,45.34%,77.71%,8.12%,52.52%,.395,99 x 61,99,61,+21.88%,.39,.39,Q,.34,.39,.28,.35,M,.44,H,2 AUG 19,56,2.23,C,2.55,X,AIG190802P56,0,0,-.814,.115,-.009,.043,-.036,14.28%,2.39,22.20%,4.46%,82.65%,35.17%,17.35%,4.73%,<empty>,2.390,537 x 74,537,74,<empty>,0,0, ,0,0,0,,
,,AIG190802C57,6,581,.142,.080,-.010,.037,.007,17.37%,.200105,<empty>,<empty>,13.12%,26.62%,86.88%,4.11%,69.07%,.200,127 x 44,127,44,0.00%,.16,.16,N,.16,.16,.16,.15,X,.25,H,2 AUG 19,57,3.15,C,3.35,N,AIG190802P57,0,3,-.910,.072,-.005,.026,-.040,13.87%,3.25,30.18%,6.05%,91.80%,16.58%,8.20%,1.85%,<empty>,3.250,289 x 2,289,2,0.00%,4.10,4.10,Q,0,0,0,,
,,AIG190802C58,24,278,.088,.055,-.007,.026,.004,17.97%,.11525543,<empty>,<empty>,7.97%,16.15%,92.03%,2.36%,87.88%,.115,64 x 2,64,2,+40.00%,.14,.14,I,.14,.14,.14,.09,M,.14,N,2 AUG 19,58,3.95,H,4.35,H,AIG190802P58,0,3,-1.000,.00,.00,.00,.00,--,<empty>,38.54%,7.71%,100.00%,0.00%,0.00%,-0.21%,<empty>,4.150,179 x 204,179,204,0.00%,4.80,4.80,Q,0,0,0,,
,,AIG190802C59,12,5,.092,.045,-.009,.027,.004,22.37%,.15033199,<empty>,<empty>,8.13%,16.52%,91.87%,3.08%,109.16%,.150,69 x 485,69,485,-69.70%,.10,.10,I,.10,.10,.10,.04,M,.26,X,2 AUG 19,59,4.90,M,5.30,X,AIG190802P59,0,0,-1.000,.00,.00,.00,.00,--,<empty>,47.36%,9.46%,100.00%,0.00%,0.00%,-1.23%,<empty>,5.100,111 x 76,111,76,<empty>,0,0, ,0,0,0,,
,,AIG190802C60,0,1,.114,.041,-.014,.031,.005,28.91%,.25035348,<empty>,<empty>,9.83%,20.09%,90.17%,5.14%,131.77%,.250,0 x 430,0,430,0.00%,.20,.20,A,0,0,0,0,B,.50,X,2 AUG 19,60,5.90,H,6.45,H,AIG190802P60,0,0,-.981,.018,-.002,.007,-.148,17.12%,6.17,57.35%,11.47%,98.35%,3.33%,1.65%,0.31%,<empty>,6.175,68 x 69,68,69,<empty>,0,0, ,0,0,0,,

9 AUG 19  (39)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190809C45,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.85%,0.00%,8.200,48 x 48,48,48,<empty>,0,0, ,0,0,0,7.00,B,9.40,B,9 AUG 19,45,.04,X,.20,B,AIG190809P45,0,10,-.047,.016,-.007,.017,-.003,33.42%,.12003423,2.67%,0.27%,5.88%,11.48%,94.12%,2.04%,<empty>,.120,286 x 18,286,18,0.00%,.17,.17,N,0,0,0,,
,,AIG190809C46,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-3.22%,0.00%,7.650,52 x 48,52,48,<empty>,0,0, ,0,0,0,6.85,B,8.45,B,9 AUG 19,46,.10,B,.20,X,AIG190809P46,0,0,-.060,.021,-.008,.021,-.004,31.57%,.15005496,3.26%,0.33%,7.31%,14.29%,92.69%,2.54%,<empty>,.150,18 x 75,18,75,<empty>,0,0, ,0,0,0,,
,,AIG190809C47,0,0,.879,.027,-.015,.035,.028,35.67%,7.18,<empty>,<empty>,86.23%,26.74%,13.77%,5.68%,5.68%,7.175,48 x 48,48,48,<empty>,0,0, ,0,0,0,6.80,B,7.55,B,9 AUG 19,47,.13,X,.24,M,AIG190809P47,0,0,-.075,.027,-.009,.025,-.005,29.57%,.18506631,3.94%,0.40%,9.04%,17.68%,90.96%,3.14%,<empty>,.185,263 x 73,263,73,<empty>,0,0, ,0,0,0,,
,,AIG190809C48,0,0,.845,.035,-.018,.042,.032,35.30%,6.33,<empty>,<empty>,82.20%,34.51%,17.80%,8.23%,8.23%,6.325,79 x 225,79,225,<empty>,0,0, ,0,0,0,6.15,C,6.50,C,9 AUG 19,48,.22,M,.38,X,AIG190809P48,0,0,-.112,.036,-.013,.034,-.007,29.74%,.30022667,6.09%,0.63%,13.22%,25.79%,86.78%,5.09%,<empty>,.300,36 x 213,36,213,<empty>,0,0, ,0,0,0,,
,,AIG190809C49,0,0,.826,.043,-.017,.045,.033,31.44%,5.35,<empty>,<empty>,80.29%,38.31%,19.71%,8.65%,8.65%,5.350,60 x 48,60,48,<empty>,0,0, ,0,0,0,5.20,M,5.50,M,9 AUG 19,49,.31,H,.41,M,AIG190809P49,0,0,-.139,.045,-.014,.040,-.009,27.40%,.36026415,6.07%,0.74%,16.06%,31.37%,83.94%,6.11%,<empty>,.360,80 x 69,80,69,<empty>,0,0, ,0,0,0,,
,,AIG190809C50,0,0,.784,.054,-.019,.052,.034,29.93%,4.50,<empty>,<empty>,75.68%,47.24%,24.32%,11.19%,11.19%,4.500,60 x 76,60,76,<empty>,0,0, ,0,0,0,4.35,M,4.65,C,9 AUG 19,50,.46,B,.57,N,AIG190809P50,0,0,-.189,.057,-.016,.048,-.012,26.69%,.51504804,7.43%,1.04%,21.42%,41.77%,78.58%,8.73%,<empty>,.515,17 x 3,17,3,<empty>,0,0, ,0,0,0,,
,,AIG190809C51,0,0,.732,.065,-.020,.058,.034,28.18%,3.68,<empty>,<empty>,70.30%,57.68%,29.70%,14.16%,14.16%,3.675,69 x 20,69,20,<empty>,0,0, ,0,0,0,3.55,I,3.80,X,9 AUG 19,51,.60,X,.84,X,AIG190809P51,10,0,-.250,.069,-.018,.057,-.015,25.93%,.72031446,9.08%,1.43%,27.86%,54.26%,72.14%,12.21%,<empty>,.720,514 x 523,514,523,<empty>,.76,.76,I,.81,.81,.76,,
,,AIG190809C52,10,0,.664,.074,-.022,.065,.033,27.31%,2.96,<empty>,<empty>,63.23%,71.29%,36.77%,18.91%,18.91%,2.955,3 x 2,3,2,<empty>,2.64,2.64,Z,2.64,2.64,2.64,2.86,Q,3.05,Q,9 AUG 19,52,.84,C,1.06,M,AIG190809P52,0,26,-.320,.082,-.019,.064,-.019,24.56%,.95004454,10.64%,1.86%,34.99%,68.08%,65.01%,16.11%,<empty>,.950,143 x 59,143,59,0.00%,1.50,1.50,Z,0,0,0,,
